1,"20kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,85000.00
2,"40kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,125000.00
3,"60kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,190000.00
4,"100kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,235000.00
5,"150kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,295000.00
6,"200kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,455000.00
7,"250kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,430000.00
8,"300kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,485000.00
9,"350kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,595000.00
10,"400kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,645000.00
11,"450kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,725000.00
12,"500kVA, K4, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K4,Cu,Dyn11",,1,955000.00
13,"20kVA, K13, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor",CSE Power / Magnetic,"K13,Cu,Dyn11",,1,105000.00
14,"40kVA, K13, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor",CSE Power / Magnetic,"K13,Cu,Dyn11",,1,160000.00
15,"60kVA, K13, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K13,Cu,Dyn11",,1,215000.00
16,"100kVA, K13, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K13,Cu,Dyn11",,1,265000.00
17,"150kVA, K13, Dry Type, Dyn11, 415V/415V, 50Hz , Delta/Star, Isolation Transformer,Class of Insulation : H, Cu WINDING, 200% Ne Size, with Temp sensor, With Manual Soft Starter",CSE Power / Magnetic,"K13,Cu,Dyn11",,1,325000.00
